0,1.9375
1,2
2,2.75
3,3.5625
4,4.3125
5,5.375
6,6.625
7,8.0625
8,9.6875
9,11.3125
10,13.0625
11,15.1875
12,17.3125
13,19.625
14,22
15,24.5625
16,27.1875
17,30.375
18,32.875
19,36.375
20,39.5625
21,43.0625
22,46.1875
23,50.1875
24,54
25,57.875
26,61.875
27,66.125
28,70.875
29,75.75
30,80.75
31,84.1875
32,1.8125
33,2
34,2.75
35,3.375
36,4.3125
37,5.4375
38,6.6875
39,8.0625
40,9.8125
41,11.4375
42,13.125
43,15.5625
44,17.5
45,19.9375
46,22.5
47,24.9375
48,27.5
49,30.6875
50,33.75
51,36.875
52,40.3125
53,43.3125
54,47.25
55,50.5625
56,54.5
57,58.3125
58,62.1875
59,67.4375
60,70.4375
61,75.5625
62,79.25
63,86
64,1
65,1
66,1
67,1
68,1
69,1.0625
70,1.3125
71,2
72,2
73,2
74,2.375
75,3
76,3.0625
77,3.6875
78,4
79,4.4375
80,5
81,5.4375
82,6
83,6.75
84,7.5
85,8.125
86,8.8125
87,9.5
88,10
89,10.25
90,10.625
91,11.0625
92,12.0625
93,13.25
94,14.5
95,16
96,1
97,1
98,1
99,1
100,1
101,1
102,1.5625
103,2
104,2
105,2
106,2.5
107,3
108,3.0625
109,3.75
110,4
111,4.5
112,5
113,5.5625
114,6.125
115,6.8125
116,7.5625
117,8
118,9.0625
119,9.9375
120,10
121,11
122,11
123,11.3125
124,12.3125
125,13.4375
126,14.75
127,16
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1.125
157,1.875
158,2
159,2
160,1.125
161,1.9375
162,2
163,2
164,2.625
165,3
166,3.9375
167,4.6875
168,5.875
169,7.3125
170,9.0625
171,11.4375
172,14.125
173,17.25
174,21.25
175,25.8125
176,30.625
177,35.9375
178,42.25
179,48.75
180,55.0625
181,62.0625
182,69.5
183,76.5625
184,86.125
185,93.5625
186,102.25
187,109.75
188,117.062
189,121.688
190,124.812
191,131.875
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1.75
233,2
234,2
235,2.0625
236,2.875
237,3.5
238,4.375
239,5.4375
240,6.9375
241,8.4375
242,10.3125
243,11.625
244,12
245,12.0625
246,14.5
247,17.3125
248,20.1875
249,23.8125
250,27.25
251,31.0625
252,35.125
253,39.1875
254,43.5625
255,48.1875
